0,1,2,3,4,5,6,7,8
172,COASTAL TAMIL NADU POWER LTD.,1,0,0,1,0,0,0
173,GRID CONTROLLER OF INDIA LIMITED,1,0,1,0,0,0,0
174,MINERAL EXPLORATION CORPN. LTD.,1,0,0,1,0,0,0
175,SJVN THERMAL PVT. LTD.,1,0,0,0,1,0,0
176,RAILWAY ENERGY MANAGEMENT COMPANY LTD.,1,1,0,0,0,0,0
177,PROJECTS & DEVELOPMENT INDIA LTD.,1,1,0,0,0,0,0
178,NATIONAL SCHEDULED CASTES FINANCE & DEVP. CORPN.,1,0,0,0,0,0,1
179,ORISSA MINERAL DEVELOPMENT COMPANY LTD.,1,1,0,0,0,0,0
180,FERRO SCRAP NIGAM LTD.,1,0,0,0,0,0,1
181,SCOOTERS INDIA LTD.,1,0,0,1,0,0,0
182,BHARATIYA NABHIKIYA VIDYUT NIGAM LTD.,1,0,0,0,0,0,1
183,ANTRIX CORPORATION LTD.,1,0,0,0,1,0,0
184,NATIONAL HANDICAPPED FINANCE & DEVPT. CORPN.,1,0,1,0,0,0,0
185,KOLKATA METRO RAIL CORPORATION LTD.,1,0,0,1,0,0,0
186,KAMARAJAR PORT LTD.,1,0,0,1,0,0,0
187,SOLAR ENERGY CORPORATION OF INDIA,1,0,0,0,0,0,1
188,ONGC VIDESH LTD.,1,0,0,0,0,0,1
189,NTPC VIDYUT VYAPAR NIGAM LTD.,1,0,0,0,0,0,1
190,POWER GRID JABALPUR TRANSMISSION LTD.,1,1,0,0,0,0,0
191,OIL INDIA INTERNATIONAL LTD.,1,0,1,0,0,0,0
192,THDC INDIA LTD.,1,0,0,0,0,0,1
193,MUMBAI RAILWAY VIKAS CORPORATION LTD.,1,0,0,0,1,0,0
194,BHARTIYA RAIL BIJLEE CO. LTD.,1,1,0,0,0,0,0
195,BHARAT OMAN REFINERIES LIMITED,1,1,0,0,0,0,0
196,COTTON CORPN. OF INDIA LTD.,1,0,0,1,0,0,0
197,ONGC MANGALORE PETROCHEMICALS LTD.,1,0,0,0,1,0,0
198,THE JUTE CORPN. OF INDIA LTD.,1,0,0,1,0,0,0
199,INLAND & COASTAL SHIPPING LTD.,1,0,0,0,0,0,1
200,RATNAGIRI GAS AND POWER PVT. LTD.,1,0,1,0,0,0,0
201,CHENAB VALLEY POWER PROJECT PRIVATE LIMITED,1,1,0,0,0,0,0
202,LOKTAK DOWNSTREAM HYDROELECTRIC CORPORATION LTD.,1,0,0,0,1,0,0
203,SAKHIGOPAL INTEGRATED POWER COMPANY LTD.,0,0,0,0,0,0,0
204,HIGH SPEED RAIL CORPORATION OF INDIA LTD.,0,0,0,0,0,0,0
205,NORTH EASTERN REGIONAL AGRI. MARKETING CORP.LTD.,0,0,0,0,0,0,0
206,NTPC Green Energy Limited,0,0,0,0,0,0,0
207,Indo Russian Helicopters Ltd.,0,0,0,0,0,0,0
208,NSIC Venture Capital Fund Ltd.,0,0,0,0,0,0,0
209,Udupi Cochin Shipyards Ltd.,0,0,0,0,0,0,0
210,BEL-THALES SYSTEMS LTD.,0,0,0,0,0,0,0
211,IRCON GURGAON REWARI HIGHWAY SERVICES,0,0,0,0,0,0,0
